GRB,GRB -ray poition,Error,Intrument,IPNb,Ab,OTb,RAb,IAUC,zc
GRB230204B,13h10m15 -22° 02',60,MAXi,y,y,y,,,2.142
GRB221226B,01h31m40 -41° 33',3,Swift,y,y,y,,,2.694
GRB221110A,01h56m29 -27° 19',3,Swift,,y,y,,,4.06
GRB221009A,19h13m03 +19° 48',3,Swift,y,y,y,y,,0.151
GRB220627A,13h24m48 -32° 30',12,Fermi,y,y,y,y,,3.084
GRB220611A,04h26m06 -37° 17',3,Swift,,y,y,,,2.3608
GRB220527A,21h34m17 +21° 34',5,Fermi,y,y,y,,,0.857
GRB220521A,18h20m47 +10° 23',3,Swift,y,y,y,,,5.6
GRB220219B,16h03m39 +31° 14',0.1,ZTF,y,y,y,y,,0.293
GRB220117A,06h06m19 -28° 25',3,Swift,y,y,,,,4.961
GRB220107A,11h19m03 +34° 08',10,Swift,y,y,y,,,1.246
GRB220101A,00h05m31 +31° 45',3,Swift,y,y,y,y,,4.618
GRB211207A,09h58m30 -24° 21',3,Swift,,y,y,,,2.272
GRB211024B,10h18m45 +24° 35',3,Swift,,y,y,,,1.1137
GRB211023B,11h21m12 +39° 08',3,Swift,,y,y,,,0.862h
GRB211023A,04h49m12 +85° 18',6,Fermi,y,,y,,,0.39
GRB210919A,05h20m55 +01° 16',3,Swift,,n,,,,0.2415h
GRB210905A,20h36m15 -44° 26',3,Swift,y,y,,y,,6.318
GRB210822A,20h17m54 +05° 16',3,Swift,y,y,y,y,,1.736
GRB210731A,20h01m15 -28° 02',3,Swift,y,y,y,,,1.2525
GRB210726A,12h53m22 +19° 11',3,Swift,,y,,y,,0.37phh
GRB210722A,01h48m06 -06° 21',3,Swift,y,y,y,,,1.145
GRB210702A,11h14m17 -36° 44',3,Swift,,y,y,y,,1.16
GRB210619B,21h18m51 +33° 52',3,Swift,y,y,y,,,1.937
GRB210610B,16h15m45 +14° 23',3,Swift,y,y,y,,,1.13
GRB210610A,13h37m08 +14° 29',3,Swift,y,y,y,,,3.54
GRB210517A,23h52m42 -39° 06',3,Swift,,y,y,,,2.486
GRB210504A,14h49m11 -30° 32',3,Swift,,y,y,,,2.077
GRB210420B,16h57m17 +42° 34',3,Swift,,y,y,,,1.4
GRB210411C,19h46m14 -39° 22',3,Swift,,y,y,,,2.826
GRB210323A,21h11m49 +25° 23',3,Swift,y,y,y,,,0.733h
GRB210321A,05h51m30 +70° 07',3,Swift,y,y,y,,,1.487
GRB210312B,10h23m22 +76° 53',3,INTEGRAL,,,y,,,1.069
GRB210222B,10h18m29 -14° 54',3,Swift,,y,y,,,2.198
GRB210210A,17h31m15 +14° 39',3,Swift,y,y,y,,,0.715
GRB210204A,07h48m19 +11° 25',0.01,ZTF,y,y,y,y,,0.876
GRB210116A,08h15m15 -05° 52',0.01,ZTF,,y,y,y,,2.514
GRB210104A,06h54m49 +64° 40',3,Swift,y,y,y,,,0.46
GRB201221D,11h24m12 +42° 09',3,Swift,y,y,y,,,1.045
GRB201221A,14h17m55 -45° 25',3,Swift,y,y,y,,,5.7
GRB201216C,01h05m26 +16° 32',3,Swift,y,y,y,,,1.1
GRB201104B,00h20m52 +07° 49',3,Swift,,y,y,,,1.954
GRB201103B,02h48m44 +12° 08',0.1,AGILE,y,y,,,,1.105
GRB201024A,08h23m47 +03° 23',3,Swift,,y,y,,,0.999
GRB201021C,00h50m12 -55° 50',3,Swift,y,y,y,,,1.07
GRB201020B,04h59m29 +76° 59',13,Fermi,y,y,y,,,0.804
GRB201020A,17h24m59 +31° 25',3,Swift,y,y,y,,,2.903
GRB201015A,23h37m22 +53° 24',3,Swift,y,y,y,y,,0.426
GRB201014A,01h23m23 +27° 42',3,Swift,,y,y,,,4.56
GRB200829A,16h44m51 +72° 20',3,Swift,y,y,y,,,1.25ph
GRB200826A,00h27m16 +34° 02',27*15,IPN,y,y,y,y,,0.7481h
GRB200613A,10h12m07 +45° 51',8,Fermi,y,y,y,,,1.22
GRB200524A,14h11m00 +60° 58',12,Fermi,y,y,y,,,1.256
GRB200522A,00h22m40 -00° 17',3,Swift,,y,y,y,,0.554h
GRB200411A,03h10m38 -52° 19',3,Swift,y,y,,n,,0.7phh
GRB200219A,22h50m35 -59° 06',3,Swift,y,y,,n,,0.48phh
GRB200205B,07h11m13 -56° 29',3,Swift,y,y,y,,,1.465
GRB191221B,10h19m20 -38° 08',3,Swift,y,y,y,y,,1.148
GRB191031D,18h53m06 +47° 38',3,Swift,y,y,,n,,0.5phh
GRB191019A,22h40m09 -17° 20',3,Swift,,y,y,,,0.248
GRB191011A,02h58m54 -27° 51',3,Swift,y,y,y,,,1.722
GRB191004B,03h16m42 -39° 37',3,Swift,y,y,y,,,3.503
GRB190919B,20h47m33 -44° 43',3,INTEGRAL,,?,y,,,3.225
GRB190829A,02h58m10 -08° 58',3,Swift,,y,y,y,,0.0785
GRB190719C,16h00m50 +12° 59',3,Swift,y,y,y,,,2.469
GRB190627A,16h19m19 -05° 18',3,Swift,y,y,y,,,1.942
GRB190613A,12h10m14 +67° 14',3,Swift,y,y,y,,,2.78?
GRB190530A,08h03m03 +35° 30',10,Fermi,y,y,y,,,<2.2
GRB190324A,03h18m18 -47° 14',3,Swift,y,y,y,,,1.1715
GRB190114C,03h38m02 -26° 56',3,Swift,y,y,y,y,,0.425
GRB190114A,04h22m11 +02° 10',3,Swift,,y,y,,,3.3765
GRB190106A,01h59m33 +23° 51',3,Swift,,y,y,,,1.859
GRB181213A,16h32m50 +78° 30',3,Swift,y,y,y,,,<2.4
GRB181201A,21h17m17 -12° 38',3,INTEGRAL,y,y,y,y,,<1.88
GRB181123B,12h17m23 +14° 35',3,Swift,,y,y,,,1.754h
GRB181110A,20h09m22 -36° 54',3,Swift,y,y,y,,,1.505
GRB181020A,00h55m52 -47° 23',3,Swift,y,y,y,,,2.938
GRB181010A,03h30m14 -23° 02',3,Swift,y,y,y,,,1.39
GRB180914B,22h09m48 +24° 53',20,AGILE,y,y,y,,,1.096
GRB180805B,01h43m15 -17° 30',3,Swift,y,y,,,,0.661h
GRB180728A,16h54m17 -54° 02',3,Swift,y,y,y,,,0.117
GRB180727A,23h06m40 -63° 03',3,Swift,y,y,,,,2.0phh
GRB180720B,00h02m07 -02° 56',3,Swift,y,y,y,y,,0.654
GRB180703A,00h26m10 -67° 05',18,Fermi,y,y,y,,,0.6678
GRB180624A,21h12m17 -02° 20',3,Swift,,y,y,,,2.855
GRB180620B,23h50m04 -57° 57',3,Swift,y,y,y,,,1.1175
GRB180618A,11h19m45 +73° 51',3,Swift,y,y,y,,,0.544h
GRB180510B,05h11m57 -62° 20',3,Swift,,y,y,,,1.305
GRB180418A,11h20m27 +24° 57',3,Swift,y,y,y,,,1.55phh
GRB180404A,05h34m15 -37° 10',3,Swift,,y,y,,,1
GRB180329B,05h31m40 -23° 42',3,Swift,,y,y,,,1.998
GRB180325A,10h29m44 +24° 26',3,Swift,y,y,y,,,2.248
GRB180314A,06h37m06 -24° 29',3,Swift,y,y,y,,,1.445
GRB180205A,08h27m17 +11° 33',3,Swift,y,y,y,,,1.409
GRB180115A,00h48m18 -15° 36',3,Swift,,y,y,,,2.487
GRB171222A,09h53m10 +35° 37',3,Swift,y,y,y,,,2.409
GRB171205A,11h09m47 -12° 36',3,Swift,y,y,y,y,,0.0368
GRB171020A,02h37m03 +15° 11',3,Swift,,y,y,,,1.87
GRB171010A,04h26m58 -10° 32',14,Fermi,y,y,y,y,,0.3285
GRB170903A,16h58m03 +34° 59',3,Swift,y,y,,n,,0.886h
GRB170817A,12h47m00 -39° 48',700,Fermi,y,y,y,y,,0.009783h
GRB170728B,15h52m11 +70° 09',3,Swift,y,y,y,n,,1.27h
GRB170728A,03h55m35 +12° 09',3,Swift,,y,y,n,,1.49h
GRB170714A,02h17m17 +01° 59',3,Swift,,y,y,y,,0.793
GRB170705A,12h46m49 +18° 18',3,Swift,y,y,y,,,2.01
GRB170607A,00h29m22 +09° 14',3,Swift,y,y,y,,,0.557
GRB170604A,22h50m35 -15° 25',3,Swift,y,y,y,,,1.329
GRB170531B,19h07m35 -16° 26',3,Swift,,y,y,,,2.366
GRB170519A,10h53m48 +25° 23',3,Swift,,y,y,n,,0.818
GRB170428A,22h00m15 +26° 55',3,Swift,y,y,y,,,0.45h
GRB170405A,14h39m14 -25° 15',3,Swift,y,y,y,,,3.51
GRB170214A,17h05m19 -01° 53',4.8,Fermi,y,y,y,,,2.53
GRB170202A,10h10m07 +05° 00',3,Swift,,y,y,,,3.645
GRB170127B,01h19m47 -30° 20',3,Swift,y,y,,,,2.2phh
GRB170113A,04h06m36 -71° 55',3,Swift,y,y,y,,,1.968
GRB161219B,06h06m52 -26° 47',3,Swift,y,y,y,y,,0.1475
GRB161129A,21h04m46 +32° 07',3,Swift,y,y,y,,,0.645
GRB161117A,21h28m17 -29° 38',3,Swift,y,y,y,,,1.549
GRB161108A,12h03m08 +24° 52',3,Swift,,y,y,n,,1.159
GRB161104A,05h11m31 +51° 27',3,Swift,,y,,,,0.79h
GRB161023A,20h44m08 -47° 40',2.6,INTEGRAL,y,y,y,,,2.708
GRB161017A,09h31m04 +43° 08',3,Swift,y,y,y,n,,2.013
GRB161014A,22h10m31 +07° 29',3,Swift,y,y,y,n,,2.823
GRB161001A,04h47m39 -57° 17',3,Swift,y,y,y,,,0.67phh
GRB160821B,18h39m57 +62° 24',3,Swift,y,y,y,y,,0.16h
GRB160804A,14h46m33 +10° 00',3,Swift,y,y,y,,,0.736
GRB160703A,19h09m34 +36° 54',3,Swift,y,y,y,,,<1.5ph
GRB160629A,00h19m17 +76° 59',3.1,INTEGRAL,y,y,y,,,3.332
GRB160625B,20h33m04 +06° 54',3,Fermi,y,y,y,y,,1.406
GRB160624A,22h00m49 +29° 38',3,Swift,y,y,,,,0.483h
GRB160623A,21h00m58 +42° 16',6,Fermi,y,y,y,y,,0.367
GRB160509A,20h40m24 +76° 00',30,Fermi,y,y,y,y,,1.17
GRB160425A,18h41m15 -54° 22',3,Swift,,y,y,,,0.555
GRB160410A,10h02m43 +03° 27',3,Swift,y,y,y,,,1.717
GRB160408A,08h10m14 +71° 08',3,Swift,y,y,y,,,1.9phh
GRB160327A,09h46m45 +54° 01',3,Swift,,y,y,,,5.0?
GRB160314A,07h31m07 +17° 00',3,Swift,,y,y,,,0.726
GRB160303A,11h14m44 +22° 44',3,Swift,,y,y,,,1.0phh
GRB160228A,07h09m17 +26° 57',3,Swift,,y,y,,,1.64
GRB160227A,12h59m09 +78° 38',3,Swift,,y,y,,,2.38
GRB160203A,10h47m48 -24° 46',3,Swift,,y,y,,,3.52
GRB160131A,05h12m44 -07° 04',3,Swift,,y,y,y,,0.972
GRB160121A,07h16m19 -23° 35',3,Swift,,y,y,,,1.96
GRB160117B,08h48m46 -16° 20',3,Swift,,y,,y,,0.87
GRB151229A,21h57m31 -20° 44',3,Swift,y,y,,,,1.4phh
GRB151215A,06h14m23 +35° 31',3,Swift,,y,y,,,2.59
GRB151112A,00h08m11 -61° 42',3,Swift,,y,y,,,4.1ph
GRB151111A,03h47m19 -44° 10',3,Swift,y,y,y,,,3.5ph
GRB151031A,05h32m48 -39° 05',3,Swift,,y,y,,,1.167
GRB151029A,02h34m08 -35° 22',3,Swift,,y,y,,,1.423
GRB151027B,05h04m57 -06° 26',3,Swift,,y,y,y,,4.063
GRB151027A,18h09m58 +61° 23',3,Swift,y,y,y,y,,0.81
GRB151021A,22h30m27 -33° 12',3,Swift,y,y,y,,,2.33
GRB150915A,21h18m55 -34° 51',3,Swift,,y,y,,,1.968
GRB150910A,00h22m42 +33° 30',3,Swift,,y,y,,,1.359
GRB150831A,14h44m05 -25° 39',3,Swift,y,y,,n,,1.18h
GRB150821A,22h47m37 -57° 52',3,Swift,y,y,y,,,0.755
GRB150818A,15h21m47 +68° 21',3,Swift,y,y,y,,,0.282
GRB150728A,19h29m09 +33° 54',3,Swift,,y,y,,,0.46h
GRB150727A,13h35m58 -18° 21',3,Swift,y,y,y,,,0.313
GRB150518A,15h36m50 +16° 16',60,MAXi,y,y,y?,,,0.256
GRB150514A,04h59m24 -60° 55',7,Fermi,y,y,y,,,0.807
GRB150423A,14h46m24 +12° 17',3,Swift,,y,y,n,,1.394h
GRB150413A,12h41m32 +71° 49',3,Swift,y,n,y,y,,3.139
GRB150403A,20h46m01 -62° 42',3,Swift,y,y,y,,,2.06
GRB150323A,08h32m46 +45° 26',3,Swift,y,y,y,,,0.593
GRB150314A,08h26m38 +63° 50',3,Swift,y,y,y,y,,1.758
GRB150301B,05h56m38 -57° 59',3,Swift,y,y,y,,,1.5169
GRB150206A,00h40m21 -63° 11',3,Swift,y,y,y,,,2.087
GRB150120B,02h37m11 +08° 05',3,Swift,,y,y,,,3.5ph
GRB150120A,00h41m14 +33° 59',3,Swift,y,y,,,,0.460h
GRB150101B,12h32m10 -10° 57',3,Swift,y,y?,y,,,0.134h
GRB141225A,09h15m00 +33° 48',3,Swift,y,y,y,,,0.915
GRB141221A,13h13m05 +08° 13',3,Swift,y,y,y,,,1.452
GRB141220A,13h00m12 +32° 09',3,Swift,y,y,y,,,1.3195
GRB141212A,02h36m39 +18° 09',3,Swift,,y,,n,,0.596h
GRB141121A,08h10m40 +22° 14',3,Swift,y,y,y,y,,1.47
GRB141109A,09h38m02 -00° 36',3,Swift,y,y,y,y,,2.993
GRB141028A,21h30m48 -00° 17',24,Fermi,y,y,y,,,2.33
GRB141026A,02h56m19 +26° 58',3,Swift,,y,y,y,,3.35?
GRB141004A,05h06m56 +12° 49',3,Swift,y,y,y,,,0.573
GRB140930B,00h25m25 +24° 16',3,Swift,y,y,y,,,1.465h
GRB140907A,03h12m35 +46° 36',3,Swift,y,y,y,,,1.21
GRB140903A,15h52m09 +27° 35',3,Swift,,y,y,y,,0.35h
GRB140808A,14h26m05 +48° 36',220,Fermi,y,y?,y,,,3.29
GRB140801A,03h01m00 -30° 53',240,Fermi,y,y,y,,,1.32
GRB140713A,18h44m27 +59° 37',3,Swift,y,y,,y,,0.935h
GRB140710A,02h44m21 +35° 30',3,Swift,y,y,y,,,0.558
GRB140703A,00h51m58 +45° 06',3,Swift,y,y,y,y,,3.14
GRB140629A,16h35m56 +41° 53',3,Swift,y,y,y,,,2.275
GRB140623A,13h13m00 +75° 48',336,Fermi,y,y,y,,,1.92
GRB140622A,21h08m37 -14° 26',3,Swift,,y,,,,0.959h
GRB140620A,18h47m29 +49° 44',120,Fermi,y,y,y,,,2.04
GRB140614A,15h24m56 -79° 06',3,Swift,,y,y,,,4.233
GRB140606B,21h51m00 +33° 41',180,Fermi,y,y,y,,,0.384
GRB140518A,15h08m55 +42° 24',3,Swift,,y,y,,,4.707
GRB140515A,12h24m09 +15° 05',3,Swift,,y,y,y,,6.32
GRB140512A,19h17m29 -15° 06',3,Swift,y,y,y,,,0.725
GRB140509A,03h06m26 -62° 39',3,Swift,,y,y,y,,2.4ph
GRB140508A,17h02m31 +46° 45',90*12,Fermi,y,y,y,,,1.027
GRB140506A,18h27m10 -55° 34',3,Swift,y,y,y,,,0.889
GRB140430A,06h51m43 +23° 01',3,Swift,,y,y,,,1.6
GRB140428A,12h57m22 +28° 21',3,Swift,,y,y,,,4.7
GRB140423A,13h09m10 +49° 49',3,Swift,y,y,y,,,3.26
GRB140419A,08h28m00 +46° 13',3,Swift,y,y,y,y,,3.956
GRB140318A,12h16m13 +20° 12',3,Swift,,y,y,,,1.02
GRB140311A,13h57m12 +00° 37',3,Swift,,y,y,y,,4.954
GRB140304A,02h02m40 +33° 29',3,Swift,y,y,y,y,,5.283
GRB140301A,04h38m11 -34° 17',3,Swift,,y,y,,,1.416
GRB140226A,14h45m58 +15° 00',0.1,iPTF,y,y,y,,,1.98
GRB140213A,07h00m52 -73° 08',3,Swift,y,y,y,,,1.2076
GRB140206A,09h41m24 +66° 45',3,Swift,y,y,y,,,2.73
GRB140129B,21h47m03 +26° 12',3,Swift,,y,y,,,0.43h
GRB140114A,12h33m56 +12° 35',3,Swift,,y,y,,,3
GRB131231A,00h42m20 -01° 51',9,Fermi,y,y,y,,,0.642
GRB131229A,05h40m57 -04° 26',3,Swift,y,y,,,,1.0phh
GRB131227A,04h29m31 +28° 53',3,Swift,,y,y,,,5.3?
GRB131117A,22h09m21 -31° 43',3,Swift,,y,y,,,4.042
GRB131108A,10h25m53 +09° 54',30,Fermi,y,y,y,y,,2.4
GRB131105A,04h44m03 -62° 59',3,Swift,y,y,y,,,1.686
GRB131103A,23h15m49 -44° 40',3,Swift,,y,y,,,0.599
GRB131030A,23h00m19 -05° 23',3,Swift,y,y,y,,,1.295
GRB131011A,01h27m41 +09° 33',315,Fermi,y,y,y,,,1.874
GRB131004A,19h44m36 -02° 58',3,Swift,y,y,y,,,0.717
GRB130925A,02h44m44 -26° 08',3,Swift,y,y,y,,,0.347
GRB130907A,14h23m31 +45° 37',3,Swift,y,y,y,y,,1.238
GRB130831A,23h54m36 +29° 27',3,Swift,y,y,y,,,0.4791
GRB130822A,01h51m46 -03° 13',3,Swift,,y,n,n,,0.154h
GRB130716A,11h58m18 +63° 03',3,Swift,y,y,,,,2.2h
GRB130702A,15h12m36 +16° 35',412,Fermi,y,y,y,y,,0.145
GRB130701A,23h48m52 +36° 06',3,Swift,y,y,y,,,1.155
GRB130612A,17h19m13 +16° 42',3,Swift,y,y,y,,,2.006
GRB130610A,14h57m40 +28° 11',3,Swift,y,y,y,,,2.092
GRB130606A,16h37m37 +29° 47',3,Swift,y,y,y,y,,5.913
GRB130604A,16h40m19 +68° 13',3,Swift,,y,y,,,1.06?
GRB130603B,11h28m50 +17° 03',3,Swift,,y,y,y,,0.3564
GRB130518A,23h43m14 +47° 38',20,Fermi,y,y,y,,,2.488
GRB130515A,18h53m41 -54° 17',3,Swift,y,y,,,,0.80phh
GRB130514A,19h45m06 -07° 57',3,Swift,,y,y,,,3.6ph
GRB130511A,13h06m33 +18° 42',3,Swift,,y,y,,,1.3033
GRB130505A,09h08m14 +17° 29',3,Swift,y,y,y,,,2.27
GRB130427B,20h59m34 -22° 32',3,Swift,,y,y,,,2.78
GRB130427A,11h32m33 +27° 41',3,Swift,y,y,y,y,,0.3399
GRB130420A,13h04m24 +59° 25',3,Swift,y,y,y,,,1.297
GRB130418A,09h56m10 +13° 39',3,Swift,y,y,y,n,,1.218
GRB130408A,08h57m36 -32° 22',3,Swift,y,y,y,,,3.757
GRB130215A,02h53m55 +13° 22',3,Swift,y,,y,,,0.597
GRB130131B,11h35m48 +15° 02',3,Swift,,y,,,,2.539
GRB130131A,11h24m26 +48° 04',3,Swift,,y,y,y,,1.55phh
GRB121229A,12h40m24 -50° 36',3,Swift,y,y,y,,,2.707
GRB121226A,11h14m38 -30° 25',3,Swift,,y,,y,,1.27phh
GRB121212A,11h51m22 +78° 02',3,Swift,y,y,y,,,<2
GRB121211A,13h02m11 +30° 10',3,Swift,y,y,y,,,1.023
GRB121209A,21h47m12 -08° 15',3,Swift,y,y,y,,,2.1
GRB121201A,00h53m57 -42° 57',3,Swift,,y,y,,,3.385
GRB121128A,20h02m20 +54° 19',3,Swift,y,y,y,,,2.2
GRB121027A,04h14m26 -58° 48',3,Swift,y,y,y,,,1.773
GRB121024A,04h41m52 -12° 16',3,Swift,,y,y,,,2.298
GRB120923A,20h15m11 +06° 14',3,Swift,,y,y,n,,7.8
GRB120922A,15h39m01 -20° 11',3,Swift,y,y,y,,,3.1ph
GRB120909A,18h22m44 -59° 26',3,Swift,y,y,y,,,3.93
GRB120907A,04h58m58 -09° 18',3,Swift,,y,y,,,0.97
GRB120815A,18h15m40 -52° 08',3,Swift,,y,y,,,2.358
GRB120811C,13h18m50 +62° 17',3,Swift,y,y,y,,,2.671
GRB120805A,14h26m08 +05° 48',3,Swift,,y,y,,,3.1
GRB120804A,15h35m43 -28° 46',3,Swift,,y,y?,y?,,1.0phh
GRB120802A,02h59m24 +13° 45',3,Swift,,y,y?,n,,3.796
GRB120729A,00h52m13 +49° 56',3,Swift,,y,y,n,,0.8
GRB120724A,16h20m46 +03° 31',3,Swift,,y,y,,,1.48
GRB120722A,15h21m58 +13° 15',3,Swift,,y,y,,,0.9586
GRB120716A,20h52m21 +09° 33',121*30,IPN,y,y,y,,,2.486
GRB120714B,23h41m44 -46° 11',3,Swift,,y,y,,CBET 3200,0.3984
GRB120712A,11h18m25 -20° 04',3,Swift,,y,y,,,4.1745
GRB120711A,06h18m49 -71° 01',3,Swift,y,y,y,,,1.405
GRB120630A,23h29m11 +42° 33',3,Swift,,y,y,,,0.6phh
GRB120624B,11h23m46 +08° 56',3,Fermi,y,y,,,,2.1974
GRB120521C,14h17m09 +42° 07',3,Swift,,y,y,y,,6
GRB120422A,09h07m43 +14° 00',3,Swift,,y,y,,,0.283
GRB120404A,15h40m03 +12° 53',3,Swift,,y,y,y,,2.876
GRB120327A,16h27m19 -29° 25',3,Swift,,y,y,,,2.813
GRB120326A,18h15m42 +69° 17',3,Swift,y,y,y,y,,1.798
GRB120311A,18h12m21 +14° 17',3,Swift,,y,y,,,<3
GRB120308A,14h36m19 +79° 42',3,Swift,,y,y,,,<4.5
GRB120305A,03h10m11 +28° 30',3,Swift,,y,,n,,0.225h
GRB120224A,02h43m54 -17° 48',3,Swift,,y,,,,1.1
GRB120211A,05h51m00 -24° 46',3,Swift,,y,,,,2.4
GRB120119A,08h00m07 -09° 04',3,Swift,y,y,y,n,,1.728
GRB120118B,08h19m28 -07° 11',3,Swift,,y,y?,,,2.943
GRB111229A,05h05m08 -84° 43',3,Swift,,y,y,,,1.3805
GRB111228A,10h00m19 +18° 18',3,Swift,y,y,y,,,0.714
GRB111225A,00h52m24 +51° 35',3,Swift,,y,y,,,0.297
GRB111215A,23h18m12 +32° 29',3,Swift,,y,,y,,2.06ph
GRB111211A,10h12m22 +11° 11',3,AGILE,y,y,y,,,0.478
GRB111209A,00h57m26 -46° 47',3,Swift,,y,y,y,,0.677
GRB111129A,20h29m46 -52° 43',3,Swift,,y,y,,,1.0796
GRB111123A,10h19m24 -20° 38',3,Swift,,y,y,,,3.1516
GRB111117A,00h50m49 +23° 01',3,Swift,y,y,y,n,,2.211h
GRB111107A,08h37m56 -66° 30',3,Swift,y,y,y,,,2.893
GRB111008A,04h01m49 -32° 41',3,Swift,y,y,y,y,,4.9898
GRB111005A,14h53m08 -19° 44',3,Swift,,,,y,,0.013
GRB110918A,02h10m18 -27° 17',3*20,IPN,y,y,y,,,0.982
GRB110818A,21h09m32 -63° 58',3,Swift,,y,y,,,3.36
GRB110808A,03h49m03 -44° 11',3,Swift,y,y,y,,,1.348
GRB110801A,05h59m22 +80° 59',3,Swift,,y,y,,,1.858
GRB110731A,18h42m05 -28° 33',3,Swift,y,y,y,,,2.83
GRB110726A,19h07m00 +56° 03',3,Swift,,y,y,,,1.036-2.7
GRB110715A,15h50m38 -46° 14',3,Swift,y,y,y,y,,0.82
GRB110709B,10h58m27 -23° 29',3,Swift,y,y,,y,,2.09?
GRB110503A,08h51m12 +52° 13',3,Swift,y,y,y,y,,1.613
GRB110422A,07h27m59 +75° 06',3,Swift,y,y,y,,,1.77
GRB110402A,13h09m41 +61° 14',3,Swift,y,y,y,,,0.854h
GRB110213B,02h46m27 +01° 11',10,MAXi,y,y,y,,,1.083
GRB110213A,02h52m01 +49° 17',3,Swift,y,y,y,,,1.46
GRB110205A,10h58m21 +67° 31',3,Swift,y,y,y,y,,2.22
GRB110128A,12h55m30 +28° 05',3,Swift,y,y,y,,,2.339
GRB110106B,08h56m47 +47° 00',3,Swift,y,y,y,n,,0.618
GRB101225A,00h00m56 +44° 36',3,Swift,,y,y,,,0.847
GRB101224A,19h03m42 +45° 43',3,Swift,y,y,,n,,0.4536h
GRB101219B,00h49m02 -34° 32',3,Swift,y,y,y,y?,,0.55
